"Dim1","Dim2","Dim3","Val"
"X1","yellow","bau",1E-6
"X1","yellow","5%",1E-6
"X1","yellow","5% and color restrictions",737.864078669903
"X1","blue","bau",1E-6
"X1","blue","5%",1631.06796216505
"X1","blue","5% and color restrictions",1631.06796216505
"X1","green","bau",4000.000001
"X1","green","5%",815.533981582524
"X1","green","5% and color restrictions",1631.06796216505
"X1","orange","bau",1E-6
"X1","orange","5%",1553.39805925243
"X1","orange","5% and color restrictions",1E-6
"X1","purple","bau",1E-6
"X1","purple","5%",1E-6
"X1","purple","5% and color restrictions",1E-6
"X2","yellow","bau",1E-6
"X2","yellow","5%",1631.06796216505
"X2","yellow","5% and color restrictions",893.203884495146
"X2","blue","bau",1E-6
"X2","blue","5%",1E-6
"X2","blue","5% and color restrictions",1E-6
"X2","green","bau",4000.000001
"X2","green","5%",815.533981582524
"X2","green","5% and color restrictions",1E-6
"X2","orange","bau",1E-6
"X2","orange","5%",1E-6
"X2","orange","5% and color restrictions",1553.39805925243
"X2","purple","bau",1E-6
"X2","purple","5%",1553.39805925243
"X2","purple","5% and color restrictions",1553.39805925243
